"Product Group","Product Type","Product Number","Description","Stock Status"
"Alfresco","Door/Dwr","AXE-TC2D-SC-SM9005","26in.  Dual Trash Center Drawer  Deep  Matte Jet Black","0"
"Alfresco","Door/Dwr","AXE-TC-SC","15in.  Trash Center Drawer","6"
"Alfresco","Door/Dwr","AXE-TC-SC-CXXXX","15in.  Trash Center Drawer  Custom Color","0"
"Alfresco","Door/Dwr","AXE-TC-SC-S1023","15in.  Trash Center Drawer  Traffic Yellow","0"
"Alfresco","Door/Dwr","AXE-TC-SC-S2005","15in.  Trash Center Drawer  Luminous Orange","0"
"Alfresco","Door/Dwr","AXE-TC-SC-S3002","15in.  Trash Center Drawer  Carmine Red","0"
"Alfresco","Door/Dwr","AXE-TC-SC-S3027","15in.  Trash Center Drawer  Raspberry Red","0"
"Alfresco","Door/Dwr","AXE-TC-SC-S4005","15in.  Trash Center Drawer  Blue Lilac","0"
"Alfresco","Door/Dwr","AXE-TC-SC-S5002","15in.  Trash Center Drawer  Ultramarine Blue","0"
"Alfresco","Door/Dwr","AXE-TC-SC-S6027","15in.  Trash Center Drawer  Light Green","0"
"Alfresco","Door/Dwr","AXE-TC-SC-S7004","15in.  Trash Center Drawer  Signal Grey","0"
"Alfresco","Door/Dwr","AXE-TC-SC-S9003","15in.  Trash Center Drawer  Signal White","0"
"Alfresco","Door/Dwr","AXE-TC-SC-S9005","15in.  Trash Center Drawer  Jet Black","0"
"Alfresco","Door/Dwr","AXE-TC-SC-SM9003","15in.  Trash Center Drawer  Matte Signal White","0"
"Alfresco","Door/Dwr","AXE-TC-SC-SM9005","15in.  Trash Center Drawer  Matte Jet Black","0"
"Alfresco","Accessory","AXE-TH","17in.  Towel Holder","4"
"Alfresco","Accessory","AXE-TH-CXXXX","17in.  Towel Holder  Custom Color","0"
"Alfresco","Accessory","AXE-TH-S1023","17in.  Towel Holder  Traffic Yellow","0"
"Alfresco","Accessory","AXE-TH-S2005","17in.  Towel Holder  Luminous Orange","0"
"Alfresco","Accessory","AXE-TH-S3002","17in.  Towel Holder  Carmine Red","0"
"Alfresco","Accessory","AXE-TH-S3027","17in.  Towel Holder  Raspberry Red","0"
"Alfresco","Accessory","AXE-TH-S4005","17in.  Towel Holder  Blue Lilac","0"
"Alfresco","Accessory","AXE-TH-S5002","17in.  Towel Holder  Ultramarine Blue","0"
"Alfresco","Accessory","AXE-TH-S6027","17in.  Towel Holder  Light Green","0"
"Alfresco","Accessory","AXE-TH-S7004","17in.  Towel Holder  Signal Grey","0"
"Alfresco","Accessory","AXE-TH-S9003","17in.  Towel Holder  Signal White","0"
"Alfresco","Accessory","AXE-TH-S9005","17in.  Towel Holder  Jet Black","0"
"Alfresco","Accessory","AXE-TH-SM9003","17in.  Towel Holder  Matte Signal White","0"
"Alfresco","Accessory","AXE-TH-SM9005","17in.  Towel Holder  Matte Jet Black","0"
"Alfresco","Cart","AXEVP-C","24in.  Cart For Versapower Cooker","0"
"Alfresco","Cart","AXEVP-C-01","24in.  Cart For Versapower Cooker","2"
"Alfresco","Storage","AXEVP-COUNTER","AGVPC-All Stainless Counter W/ Storage","0"
"Alfresco","Burner","AXEVP-LP","24in.  Versapower Cooker  LP","12"
"Alfresco","Accessory","AXEVP-LP TANK","14in.  Tank Attachment For AGVPC Counter  LP","1"
"Alfresco","Burner","AXEVP-LP-CXXXX","24in.  VersaPower Cooker  LP  Custom Color","0"
"Alfresco","Burner","AXEVP-LP-S1023","24in.  VersaPower Cooker  LP  Traffic Yellow","0"
"Alfresco","Burner","AXEVP-LP-S2005","24in.  VersaPower Cooker  LP  Luminous Orange","0"
"Alfresco","Burner","AXEVP-LP-S3002","24in.  VersaPower Cooker  LP  Carmine Red","0"
"Alfresco","Burner","AXEVP-LP-S3027","24in.  VersaPower Cooker  LP  Raspberry Red","0"
"Alfresco","Burner","AXEVP-LP-S4005","24in.  VersaPower Cooker  LP  Blue Lilac","0"
"Alfresco","Burner","AXEVP-LP-S5002","24in.  VersaPower Cooker  LP  Ultramarine Blue","0"
"Alfresco","Burner","AXEVP-LP-S6027","24in.  VersaPower Cooker  LP  Light Green","0"
"Alfresco","Burner","AXEVP-LP-S7004","24in.  VersaPower Cooker  LP  Signal Grey","0"
"Alfresco","Burner","AXEVP-LP-S9003","24in.  VersaPower Cooker  LP  Signal White","0"
"Alfresco","Burner","AXEVP-LP-S9005","24in.  VersaPower Cooker  LP  Jet Black","0"
"Alfresco","Burner","AXEVP-LP-SM9003","24in.  VersaPower Cooker  LP  Matte Signal White","0"
"Alfresco","Burner","AXEVP-LP-SM9005","24in.  VersaPower Cooker  LP  Matte Jet Black","0"
"Alfresco","Burner","AXEVP-NG","24in.  Versapower Cooker  NG","19"
"Alfresco","Burner","AXEVP-NG-CXXXX","24in.  VersaPower Cooker  NG  Custom Color","0"
"Alfresco","Burner","AXEVP-NG-S1023","24in.  VersaPower Cooker  NG  Traffic Yellow","0"
"Alfresco","Burner","AXEVP-NG-S2005","24in.  VersaPower Cooker  NG  Luminous Orange","0"
"Alfresco","Burner","AXEVP-NG-S3002","24in.  VersaPower Cooker  NG  Carmine Red","0"
"Alfresco","Burner","AXEVP-NG-S3027","24in.  VersaPower Cooker  NG  Raspberry Red","0"
"Alfresco","Burner","AXEVP-NG-S4005","24in.  VersaPower Cooker  NG  Blue Lilac","0"
"Alfresco","Burner","AXEVP-NG-S5002","24in.  VersaPower Cooker  NG  Ultramarine Blue","0"
"Alfresco","Burner","AXEVP-NG-S6027","24in.  VersaPower Cooker  NG  Light Green","0"
"Alfresco","Burner","AXEVP-NG-S7004","24in.  VersaPower Cooker  NG  Signal Grey","0"
"Alfresco","Burner","AXEVP-NG-S9003","24in.  VersaPower Cooker  NG  Signal White","0"
"Alfresco","Burner","AXEVP-NG-S9005","24in.  VersaPower Cooker  NG  Jet Black","0"
"Alfresco","Burner","AXEVP-NG-SM9003","24in.  VersaPower Cooker  NG  Matte Signal White","0"
"Alfresco","Burner","AXEVP-NG-SM9005","24in.  VersaPower Cooker  NG  Matte Jet Black","0"
"Alfresco","FCT-Kitch","AXEVP-T10","Adjustable Pot Filler Tower","3"
"Alfresco","Accessory","AXEVP-TG","19in.  Teppanyaki Griddle","16"
"Alfresco","Accessory","AXEVP-WOK","22in.  Commercial Wok","4"
"Alfresco","Door/Dwr","AXEWD-30","30in.  Electric Warming Drawer","8"
"Alfresco","Door/Dwr","AXEWD-30-CXXXX","30in.  Electric Warming Drawer  Custom Color","0"
"Alfresco","Door/Dwr","AXEWD-30-S1023","30in.  Electric Warming Drawer  Traffic Yellow","0"
"Alfresco","Door/Dwr","AXEWD-30-S2005","30in.  Electric Warming Drawer  Luminous Orange","0"
"Alfresco","Door/Dwr","AXEWD-30-S3002","30in.  Electric Warming Drawer  Carmine Red","0"
"Alfresco","Door/Dwr","AXEWD-30-S3027","30in.  Electric Warming Drawer  Raspberry Red","0"
"Alfresco","Door/Dwr","AXEWD-30-S4005","30in.  Electric Warming Drawer  Blue Lilac","0"
"Alfresco","Door/Dwr","AXEWD-30-S5002","30in.  Electric Warming Drawer  Ultramarine Blue","0"
"Alfresco","Door/Dwr","AXEWD-30-S6027","30in.  Electric Warming Drawer  Light Green","0"
"Alfresco","Door/Dwr","AXEWD-30-S7004","30in.  Electric Warming Drawer  Signal Grey","0"
"Alfresco","Door/Dwr","AXEWD-30-S9003","30in.  Electric Warming Drawer  Signal White","0"
"Alfresco","Door/Dwr","AXEWD-30-S9005","30in.  Electric Warming Drawer  Jet Black","0"
"Alfresco","Door/Dwr","AXEWD-30-SM9003","30in.  Electric Warming Drawer  Matte Signal White","0"
"Alfresco","Door/Dwr","AXEWD-30-SM9005","30in.  Electric Warming Drawer  Matte Jet Black","0"
"Alfresco","Sink - SS","BAR PACKAGE","Bartending Package For 30in.  Sink","4"
"Alfresco","Accessory","BO","Bottle Opener  Cap Catcher & Towel Rack","1"
"Alfresco","Accessory","BS","Blender Shelf","2"
"Alfresco","Accessory","BWELL","4 Bottle Wells Tray","1"
"Alfresco","Accessory","COLANDER","4in.  Deep Colander","0"
"Alfresco","Accessory","CT","Condiment Tray","0"
"Alfresco","Accessory","DS","Display Shelf","1"
"Alfresco","Accessory","HS-30","High Shelf W/ Lights","0"
"Alfresco","Accessory","ICE PAN","6in.  Deep Ice Pan","0"
"Alfresco","Accessory","MS","Middle Shelf (HS-30 or PR-30 Required)","2"
"Alfresco","Accessory","PANTRY FAUCET","Commercial Dual Supply Pantry Faucet","2"
"Alfresco","FCT-Kitch","POT FAUCET","Double Joint Spout Pot Filler Faucet","0"
"Alfresco","Accessory","PR-30","High Shelf W/ Pot Rack & Light","0"
"Alfresco","Accessory","RAIL-14","14in.  Speed Rail for Island Installation","1"
"Alfresco","Accessory","RAIL-19","19in.  Speed Rail for Island Installation","0"
"Alfresco","Accessory","SC-30","Versa Sink S/S Cover","1"
"Alfresco","Accessory","SFI-POD","Solid Fuel Insert","2"
"Alfresco","Sink - SS","SINK PACKAGE","Preparation Package For 30in.  Sink","2"
"Alfresco","Accessory","SPR-LRG","19in.  Speed Rail for Versa Sink","2"
"Alfresco","Accessory","SPR-SM","14in.  Speed Rail for Versa Sink","0"
"Alfresco","Accessory","TH","Paper Towel Holder for Versa Sink","10"
"Alfresco","UC-REF","URS-1XE","28in.  Single Door Refrigerator  7.25 Cubic Ft.","7"
"Alfresco","UC-REF","URS-1XE-S6027","28in.  Single Door Refrigerator  7.25 Cubic Ft.  Light Green","0"
"Alfresco","UC-REF","URS-1XE-S9003","28in.  Single Door Refrigerator  7.25 Cubic Ft.  Signal White","0"
"Alfresco","UC-REF","URS-1XE-S9005","28in.  Single Door Refrigerator  7.25 Cubic Ft.  Jet Black","0"
"Alfresco","UC-REF","URS-1XE-SM9003","28in.  Single Door Refrigerator  7.25 Cubic Ft.  Matte Signal White","0"
"Alfresco","UC-REF","URS-1XE-SM9005","28in.  Single Door Refrigerator  7.25 Cubic Ft.  Matte Jet Black","0"
"Alfresco","Cart","XE-30C","Standard Cart for 30in.  Grill","2"
"Alfresco","Cart","XE-30C-CXXXX","Standard Cart for 30in.  Grill  Custom Color","0"
"Alfresco","Cart","XE-30C-S1023","Standard Cart for 30in.  Grill  Traffic Yellow","0"
"Alfresco","Cart","XE-30C-S2005","Standard Cart for 30in.  Grill  Luminous Orange","0"
"Alfresco","Cart","XE-30C-S3002","Standard Cart for 30in.  Grill  Carmine Red","0"
"Alfresco","Cart","XE-30C-S3027","Standard Cart for 30in.  Grill  Raspberry Red","0"
"Alfresco","Cart","XE-30C-S4005","Standard Cart for 30in.  Grill  Blue Lilac","0"
"Alfresco","Cart","XE-30C-S5002","Standard Cart for 30in.  Grill  Ultramarine Blue","0"
"Alfresco","Cart","XE-30C-S6027","Standard Cart for 30in.  Grill  Light Green","0"
"Alfresco","Cart","XE-30C-S7004","Standard Cart for 30in.  Grill  Signal Grey","0"
"Alfresco","Cart","XE-30C-S9003","Standard Cart for 30in.  Grill  Signal White","0"
"Alfresco","Cart","XE-30C-S9005","Standard Cart for 30in.  Grill  Jet Black","0"
"Alfresco","Cart","XE-30C-SM9003","Standard Cart for 30in.  Grill  Matte Signal White","0"
"Alfresco","Cart","XE-30C-SM9005","Standard Cart for 30in.  Grill  Matte Jet Black","0"
"Alfresco","Cart","XE-30GTC","Standard Cart for 30in.  Griddle","2"
"Alfresco","Cart","XE-30GTC-CXXXX","Standard Cart for 30in.  Griddle  Custom Color","0"
"Alfresco","Cart","XE-30GTC-S1023","Standard Cart for 30in.  Griddle  Traffic Yellow","0"
"Alfresco","Cart","XE-30GTC-S2005","Standard Cart for 30in.  Griddle  Luminous Orange","0"
"Alfresco","Cart","XE-30GTC-S3002","Standard Cart for 30in.  Griddle  Carmine Red","0"
"Alfresco","Cart","XE-30GTC-S3027","Standard Cart for 30in.  Griddle  Raspberry Red","0"
"Alfresco","Cart","XE-30GTC-S4005","Standard Cart for 30in.  Griddle  Blue Lilac","0"
"Alfresco","Cart","XE-30GTC-S5002","Standard Cart for 30in.  Griddle  Ultramarine Blue","0"
"Alfresco","Cart","XE-30GTC-S6027","Standard Cart for 30in.  Griddle  Light Green","0"
"Alfresco","Cart","XE-30GTC-S7004","Standard Cart for 30in.  Griddle  Signal Grey","0"
"Alfresco","Cart","XE-30GTC-S9003","Standard Cart for 30in.  Griddle  Signal White","0"
"Alfresco","Cart","XE-30GTC-S9005","Standard Cart for 30in.  Griddle  Jet Black","0"
"Alfresco","Cart","XE-30GTC-SM9003","Standard Cart for 30in.  Griddle  Matte Signal White","0"
"Alfresco","Cart","XE-30GTC-SM9005","Standard Cart for 30in.  Griddle  Matte Jet Black","0"
"Alfresco","Accessory","XE-36AG","Insert Accessory Grate for 36in.  Grill","9"
"Alfresco","Cart","XE-36C","Standard Cart for 36in.  Grill","1"
"Alfresco","Cart","XE-36C-CXXXX","Standard Cart for 36in.  Grill  Custom Color","0"
"Alfresco","Accessory","XE-36CD","Deluxe Cart for 36in.  Grill","0"
"Alfresco","Cart","XE-36C-S1023","Standard Cart for 36in.  Grill  Traffic Yellow","0"
"Alfresco","Cart","XE-36C-S2005","Standard Cart for 36in.  Grill  Luminous Orange","0"
"Alfresco","Cart","XE-36C-S3002","Standard Cart for 36in.  Grill  Carmine Red","0"
"Alfresco","Cart","XE-36C-S3027","Standard Cart for 36in.  Grill  Raspberry Red","0"
"Alfresco","Cart","XE-36C-S4005","Standard Cart for 36in.  Grill  Blue Lilac","0"
"Alfresco","Cart","XE-36C-S5002","Standard Cart for 36in.  Grill  Ultramarine Blue","0"
"Alfresco","Cart","XE-36C-S6027","Standard Cart for 36in.  Grill  Light Green","0"
"Alfresco","Cart","XE-36C-S7004","Standard Cart for 36in.  Grill  Signal Grey","0"
"Alfresco","Cart","XE-36C-S9003","Standard Cart for 36in.  Grill  Signal White","0"
"Alfresco","Cart","XE-36C-S9005","Standard Cart for 36in.  Grill  Jet Black","0"
"Alfresco","Cart","XE-36C-SM9003","Standard Cart for 36in.  Grill  Matte Signal White","0"
"Alfresco","Cart","XE-36C-SM9005","Standard Cart for 36in.  Grill  Matte Jet Black","0"
"Alfresco","Cart","XE-42C","Standard Cart for 42in.  Grill","1"
"Alfresco","Cart","XE-42C-CXXXX","Standard Cart for 42in.  Grill  Custom Color","0"
"Alfresco","Cart","XE-42CD","Deluxe Cart for 42in.  Grill","1"
"Alfresco","Cart","XE-42CD-CXXXX","Deluxe Cart for 42in.  Grill  Custom Color","0"
"Alfresco","Cart","XE-42CD-S1023","Deluxe Cart for 42in.  Grill  Traffic Yellow","0"
"Alfresco","Cart","XE-42CD-S2005","Deluxe Cart for 42in.  Grill  Luminous Orange","0"
"Alfresco","Cart","XE-42CD-S3002","Deluxe Cart for 42in.  Grill  Carmine Red","0"
"Alfresco","Cart","XE-42CD-S3027","Deluxe Cart for 42in.  Grill  Raspberry Red","0"
"Alfresco","Cart","XE-42CD-S4005","Deluxe Cart for 42in.  Grill  Blue Lilac","0"
"Alfresco","Cart","XE-42CD-S5002","Deluxe Cart for 42in.  Grill  Ultramarine Blue","0"
"Alfresco","Cart","XE-42CD-S6027","Deluxe Cart for 42in.  Grill  Light Green","0"
"Alfresco","Cart","XE-42CD-S7004","Deluxe Cart for 42in.  Grill  Signal Grey","0"
"Alfresco","Cart","XE-42CD-S9003","Deluxe Cart for 42in.  Grill  Signal White","0"
"Alfresco","Cart","XE-42CD-S9005","Deluxe Cart for 42in.  Grill  Jet Black","0"
"Alfresco","Cart","XE-42CD-SM9003","Deluxe Cart for 42in.  Grill  Matte Signal White","0"
"Alfresco","Cart","XE-42CD-SM9005","Deluxe Cart for 42in.  Grill  Matte Jet Black","0"
"Alfresco","Cart","XE-42C-S1023","Standard Cart for 42in.  Grill  Traffic Yellow","0"
"Alfresco","Cart","XE-42C-S2005","Standard Cart for 42in.  Grill  Luminous Orange","0"
"Alfresco","Cart","XE-42C-S3002","Standard Cart for 42in.  Grill  Carmine Red","0"
"Alfresco","Cart","XE-42C-S3027","Standard Cart for 42in.  Grill  Raspberry Red","0"
"Alfresco","Cart","XE-42C-S4005","Standard Cart for 42in.  Grill  Blue Lilac","0"
"Alfresco","Cart","XE-42C-S5002","Standard Cart for 42in.  Grill  Ultramarine Blue","0"
"Alfresco","Cart","XE-42C-S6027","Standard Cart for 42in.  Grill  Light Green","0"
"Alfresco","Cart","XE-42C-S7004","Standard Cart for 42in.  Grill  Signal Grey","0"
"Alfresco","Cart","XE-42C-S9003","Standard Cart for 42in.  Grill  Signal White","0"
"Alfresco","Cart","XE-42C-S9005","Standard Cart for 42in.  Grill  Jet Black","0"
"Alfresco","Cart","XE-42C-SM9003","Standard Cart for 42in.  Grill  Matte Signal White","0"
"Alfresco","Cart","XE-42C-SM9005","Standard Cart for 42in.  Grill  Matte Jet Black","0"
"Alfresco","Cart","XE-56C","Deluxe Cart for 56in.  Grill","0"
"Alfresco","Cart","XE-56C-CXXXX","Deluxe Cart for 56in.  Grill  Custom Color","0"
"Alfresco","Cart","XE-56C-S1023","Deluxe Cart for 56in.  Grill  Traffic Yellow","0"
"Alfresco","Cart","XE-56C-S2005","Deluxe Cart for 56in.  Grill  Luminous Orange","0"
"Alfresco","Cart","XE-56C-S3002","Deluxe Cart for 56in.  Grill  Carmine Red","0"
"Alfresco","Cart","XE-56C-S3027","Deluxe Cart for 56in.  Grill  Raspberry Red","0"
"Alfresco","Cart","XE-56C-S4005","Deluxe Cart for 56in.  Grill  Blue Lilac","0"
"Alfresco","Cart","XE-56C-S5002","Deluxe Cart for 56in.  Grill  Ultramarine Blue","0"
"Alfresco","Cart","XE-56C-S6027","Deluxe Cart for 56in.  Grill  Light Green","0"
"Alfresco","Cart","XE-56C-S7004","Deluxe Cart for 56in.  Grill  Signal Grey","0"
"Alfresco","Cart","XE-56C-S9003","Deluxe Cart for 56in.  Grill  Signal White","0"
"Alfresco","Cart","XE-56C-S9005","Deluxe Cart for 56in.  Grill  Jet Black","0"
"Alfresco","Cart","XE-56C-SM9003","Deluxe Cart for 56in.  Grill  Matte Signal White","0"
"Alfresco","Cart","XE-56C-SM9005","Deluxe Cart for 56in.  Grill  Matte Jet Black","0"
"Alfresco","Accessory","XEDS-1","Accessory Door Bin for AXE-17  AXE-30  DDC Combos","5"
"Alfresco","Accessory","XEDS-2","Accessory Door Bin for AXE-23  AXE-42","0"
"Alfresco","Accessory","XEDS-3","Accessory Door Bin for AXE-36","0"
"Alfresco","Accessory","XEDS-4","Accessory Door Bin for DDR  DTH Combos","9"
"Alfresco","Accessory","XEDS-5","Accessory Door Bin for AXE-DDC-L/R-42SC","1"
"Artisan","Parts","100-2366","Rotisserie Holder Bracket","0"
"Artisan","Parts","100-2668","Briquette tray base","0"
"Artisan","Parts","100-2669","Briquette tray base","0"
"Artisan","Parts","100-2672","Back Hood","0"
"Artisan","Parts","190-0060","Model AAE-26 NG to LP conversion kit","3"
"Artisan","Parts","190-0065","Model AAE-26 LP to NG conversion kit","3"
"Artisan","Parts","190-0078","Model– ARTP-32 NG to LP conversion kit","0"
"Artisan","Parts","190-0079","ARTP-36/42 NG to LP Conversion Kit","2"
"Artisan","Parts","190-0083","Conversion Kit - ARTP-32/ LP to NG","3"
"Artisan","Parts","190-0085","ART-SB1 NG & LP Conversion Kit","0"
"Artisan","Parts","190-0087","ART-PZA NG to LP Conversion Kit","0"
"Artisan","Parts","190-0088","ART-PZA LP to NG Conversion Kit","0"
"Artisan","Parts","190-0089","Artp-42 Ng>Lp Conversion Kit","0"
"Artisan","Parts","190-0090","Artp-42 Lp>Ng Conversion Kit","0"
"Artisan","Parts","195-0052","Artisan 2019 Catalog (Pack of 25)","0"
"Artisan","Parts","195-0053","Artisan 2019 Roll-Fold Brochure (Pack of 100)","0"
"Artisan","Parts","195-0055","Artisan 2020 Brochure (Pack of 25)","0"
"Artisan","Parts","195-0090","Artisan 2023 Brochure (Pack of 25)","0"
"Artisan","Parts","200-0057","Screw 1/4-20 X 1/2 Truss H   SS","3"
"Artisan","Parts","210-0518","Igniter Power Switch Harness","0"
"Artisan","Parts","210-0547","ART2-32 Ignition Wire Kit","0"
"Artisan","Parts","215-0006","ARFG-42 Controller swap out","0"
"Artisan","Parts","265-0013","Front Grill Air Intake  Refrigerator","0"
"Artisan","Parts","265-0029","ARTISAN CERAMIC TILE - 3½ x 2in.  (rectangular for original ART  not ART2 models)- 8 pack","8"
"Artisan","Parts","285-0194","Box for AAEP32C","0"
"Artisan","Parts","290-0073","Artisan Accessory Replacement Handle","1"
"Artisan","Parts","290-0164","ARFG DRW Gasket 15 3/4 x8 7/8","0"
"Artisan","Parts","290-0165","ARFG Door Gasket 23 1/4x17 3/4","0"
"Artisan","Parts","290-0325","ARTISAN SEAR ZONE BURNER","0"
"Artisan","Parts","290-0354","Artisan warming grid 36”","0"
"Artisan","Parts","290-0360","ART-32 Warming Grid","0"
"Artisan","Parts","290-0444","Artisan Spacer","0"
"Artisan","Parts","290-0445","Artisan Clevis","0"
"Artisan","Parts","290-0446","REPLACEMENT U BURNER - ARTISAN","6"
"Artisan","Parts","290-0448","Artisan Cotter Pin","0"
"Artisan","Parts","290-0501","BBQ GRID - 12.8125in.  WIDE for 42in.  Artisan Grill","2"
"Artisan","Parts","290-0590","ARTP-PB - CENTER GRATE - STOCK POT","0"
"Artisan","Parts","510-0387","SS Cover FOR AXEVP-NG","0"
"Artisan","Parts","510-0388","ARDI Top Cover","0"
"Artisan","Parts","510-0522","Briquette Asssemble","15"
"Artisan","Parts","510-0547","Bull Nose","0"
"Artisan","Parts","510-0552","Art- Rot 36 Rotisserie Kit","0"
"Artisan","Parts","510-0591","Left Panel","0"
"Artisan","Parts","510-0595","Left Door","0"
"Artisan","Parts","510-0628","Left Panel Assembly","0"
"Artisan","Parts","510-0632","Left Door for cart model ARTP-32C","0"
"Artisan","Parts","510-0633","Artisan Cart Door 32in.  Right Side","0"
"Artisan","Parts","510-0638","Artisan Cart Door 36in.  Left Side","0"
"Artisan","Parts","510-0639","Artisan Cart Door 36in.   Right Side","0"
"Artisan","Parts","510-0720","TOP DRAWER FOR XE-56C","0"
"Artisan","Parts","510-0742","ART 36 Perimeter Ring","0"
"Artisan","Parts","510-0755","ART2-32 Front Hood - Welded","0"
"Artisan","Parts","510-0774","Aaep-26 Back Panel","0"
"Artisan","Parts","510-0834","ART2-36 Front Panel Assembly","0"
"Artisan","Parts","510-0865","Art2-36 Firebox Rear Cover","0"
"Artisan","Parts","510-1009","ARTP-36 Front Hood - Welded Pa","0"
"Artisan","Parts","510-1018","ARTP-32 Front Hood (welded pa","0"
"Artisan","Parts","510-1022","Front Panel","1"
"Artisan","Parts","510-1023","ARTP-36 Front Panel Welded Par","0"
"Artisan","Parts","510-1024","ARTP - BRIQUETTE TRAY ASSEMBLY - 13 ½in.","4"
"Artisan","Parts","510-1025","ARTP – BRIQUETTE TRAY ASSEMBLY – 9-3/4”","6"
"Artisan","Parts","510-1036","AAEP-26 Front Panel Assem Weld","0"
"Artisan","Parts","510-1040","ARTISAN  36in.  GREASE TRAY ASSEMBLY  For ARTP-36","0"
"Artisan","Parts","510-1044","Aaep-26 Fire Box","0"
"Artisan","Parts","510-1290","42in.  Front Hood","0"
"Artisan","Parts","510-1303","Grease Tray Assembly","0"
"Artisan","Parts","510-1305","BRIQUETTE TRAY ASSEMBLY - 13in.  for 42in.  Artisan Grill","0"
"Artisan","Parts","510-1343","26in.  Drawer Assembly","0"
"Artisan","Parts","999-9999","Artisan Door forART-BC24","0"
"Artisan","Grill","AAEP-26C-LP","American Eagle 26in.  Cart Model Grill  2 Burner  LP","2"
"Artisan","Grill","AAEP-26C-NG","American Eagle 26in.  Cart Model Grill  2 Burner  NG","2"
"Artisan","Grill","AAEP-26-LP","American Eagle 26in.  Built-IN Grill  2 Burner  LP","4"
"Artisan","Grill","AAEP-26-NG","American Eagle 26in.  Built-IN Grill  2 Burner  NG","4"
"Artisan","Grill","AAEP-32C-LP","American Eagle 32in.  Cart Model Grill  3 Burner  LP","4"
"Artisan","Grill","AAEP-32C-NG","American Eagle 32in.  Cart Model Grill  3 Burner  NG","4"
"Artisan","Grill","AAEP-32-LP","American Eagle 32in.  Built-IN Grill  3 Burner  LP","11"
"Artisan","Grill","AAEP-32-NG","American Eagle 32in.  Built-IN Grill  3 Burner  NG","0"
"Artisan","Grill","AAEP-36C-LP","American Eagle 36in.  Cart Grill  3 Burner  LP","3"
"Artisan","Grill","AAEP-36C-NG","American Eagle 36in.  Cart Grill  3 Burner  NG","3"
"Artisan","Grill","AAEP-36-LP","American Eagle 36in.  Built-IN Grill  3 Burner  LP","11"
"Artisan","Grill","AAEP-36-NG","American Eagle 36in.  Built-IN Grill  3 Burner  NG","10"
"Artisan","Covers","ART-18PBCV","Weather Cover for ARTP-18PB","2"
"Artisan","Covers","ART-26CV","Grill Cover 26in.  Built In","0"
"Artisan","Covers","ART-26CVC","Grill Cover 26in.  W/ Cart","2"
"Artisan","Covers","ART-32CV","Grill Cover 32in.  Built In","30"
"Artisan","Covers","ART-32CVC","Grill Cover 32in.  W/ Cart","11"
"Artisan","Covers","ART-36CV","Grill Cover 36in.  Built In","12"
"Artisan","Covers","ART-36CVC","Grill Cover 36in.  W/ Cart","3"
"Artisan","Parts","ART-42CV","Grill Cover 42in.  Built In","14"
"Artisan","Covers","ART-42CVC","Vinyl Cover for 42in.  Cart Grill","3"
"Artisan","UC-REF","ART-BC24","24in.  Outdoor Refrigerator  Stainless Steel  RH Door Swing","7"
"Artisan","Accessory","ART-BC24-KIT","Handle Kit for Outdoor Refrigerator","12"
"Artisan","UC-REF","ART-BC24-L","24in.  Outdoor Refrigerator  Stainless Steel  LH Door Swing","12"
"Artisan","Accessory","ARTC-26","Cart Only for AAEP-26","0"
"Artisan","Accessory","ARTC-32-01","32in.  Grill Cart","0"
"Artisan","Accessory","ARTC-36","Cart For: ARTP-36C  (SERVICE PART)","0"
"Artisan","Accessory","ARTC-36-01","36in.  Grill Cart","0"
"Artisan","Accessory","ARTC-42-01","42in.  Grill Cart","0"
"Artisan","Accessory","ARTC-SBM","Shelf Mount FOR Cart Model  ART-SB1 Only","10"
"Artisan","Accessory","ARTC-SBM-01","Shelf Mount For Cart","1"
"Artisan","Parts","ART-DCS27CTK","27in.  Conversion Trim Kit","10"
"Artisan","Ins_JKT","ART-IJ26","Insulated Jacket  26in.  Grill","4"
"Artisan","Ins_JKT","ART-IJ32","Insulated Jacket  32in.  Grill","28"
"Artisan","Ins_JKT","ART-IJ36","Insulated Jacket  36in.  Grill","17"
"Artisan","Ins_JKT","ART-IJ42","Insulated Jacket  42in.  Grill","3"
"Artisan","Parts","ART-ISB","Artisan Sz Burner Kit","17"
"Artisan","Door/Dwr","ARTP-17DL","17in.  Single Door  Left Side","0"
"Artisan","Door/Dwr","ARTP-17DR","17in.  Single Door  Right Side","0"
"Artisan","Accessory","ARTP-18G","Griddle for 18in.  Power Burner","0"
"Artisan","Door/Dwr","ARTP-18-LPTDR-SC","18in.  Island LP Tank Drawer","0"
"Artisan","Burner","ARTP-18PB-LP","Power Burner  Built-In  LP","3"
"Artisan","Burner","ARTP-18PB-NG","Power Burner  Built-In  NG","1"
"Artisan","Door/Dwr","ARTP-24DR-SC","24in.  Single Drawer Unit","0"
"Artisan","Door/Dwr","ARTP-26DL","26in.  Single Door  Left Side","4"
"Artisan","Door/Dwr","ARTP-26DR","26in.  Single Door  Right Side","0"
"Artisan","Parts","ARTP-26WS","Artisan 26in.  Wind Shield","1"
"Artisan","Parts","ARTP-26WS-01","Artisan 26in.  Wind Shield","0"
"Artisan","Door/Dwr","ARTP-2DR","17in.  Two Tier Storage Drawers","0"
"Artisan","Door/Dwr","ARTP-2DR-17SC","17in.  Two Drawer Unit","0"
